,ID,Query,difficulty,dataset
0,faq_001,パスワードを忘れた,easy,train
1,faq_001,メールアドレスにパスワード再設定通知が届かない,easy,train
2,faq_001,登録メールアドレスが分からない,easy,train
3,faq_001,パスワード再設定をしてもログインできない,easy,train
4,faq_001,ブログ管理画面へログインできない,easy,train
5,faq_001,エラーが発生してログインできない,easy,train
6,faq_001,ロボットではないことを確認できずログインできない,easy,train
7,faq_001,新規登録画面が表示されログインできない,easy,train
8,faq_001,2段階認証の認証コードが受信できずログインできない,easy,train
9,faq_001,アメーバIDを忘れてしまった,easy,train
10,faq_001,退会したいがログインできず退会できない,easy,train
11,faq_001,Amebaの関連サービスにログインできない,easy,train
12,faq_001,ログイン状態だったのにいきなりログアウトとログインを求められた,easy,train
13,faq_001,Amebaアプリを起動すると「新しいバージョンにアップデートしてください」と表示されログインできない,easy,train
14,faq_002,ログインできない場合、退会手続きはどのように行えばいいですか？,easy,train
15,faq_002,ログインできない場合に退会する方法はありますか？,easy,train
16,faq_003,退会手続きを行ってからブログが削除されるまでにはどれくらいの時間がかかりますか？,easy,train
17,faq_003,退会後にメールマガジンの配信停止までにはどれくらいの時間がかかりますか？,easy,train
18,faq_003,退会するとお持ちのコインやマネーは削除されますか？,easy,train
19,faq_003,Amebaマンガの月額プランを利用している場合、退会するとマンガの閲覧やマンガコインの利用ができなくなりますか？,easy,train
20,faq_003,Ameba占い館SATORIの月額プレミアム会員プランを利用している場合、退会すると運勢の確認やキャンペーン特典の利用ができなくなりますか？,easy,train
21,faq_003,退会フォームにアクセスする方法はありますか？,easy,train
22,faq_003,解決しない場合はどこにお問い合わせすればよいですか？,easy,train
23,faq_004,お知らせメールの設定場所はどこですか？,easy,train
24,faq_004,メールが届かない場合、どのような確認をすればよいですか？,easy,train
25,faq_004,メールが届かない場合、Amebaからのメールを受信拒否している可能性はありますか？,easy,train
26,faq_004,メールが届かない場合、迷惑メールフォルダに振り分けられている可能性はありますか？,easy,train
27,faq_005,アメンバーになっているのに記事が閲覧できませんが、なぜですか？,easy,train
28,faq_005,別のアカウントでログインしている場合、なぜアメンバー限定記事が閲覧できないのですか？,easy,train
29,faq_005,アメンバー承認がされていない（申請中である）場合、なぜアメンバー記事の閲覧ができないのですか？,easy,train
30,faq_005,アメンバーの解除がされている場合、なぜアメンバー記事の閲覧ができないのですか？,easy,train
31,faq_005,一時的な問題で閲覧できない場合、なぜアメンバー記事が閲覧できないのですか？,easy,train
32,faq_006,Amebaのアカウントの安全性を守るためにはどのような注意点がありますか？,easy,train
33,faq_006,ブログを書く際に気を付けるべきポイントはありますか？,easy,train
34,faq_006,ブログを読む際に気を付けるべきポイントはありますか？,easy,train
35,faq_006,トラブルに遭った場合、どのように対処すればよいですか？,easy,train
36,faq_006,Amebaのペナルティについて教えてください。,easy,train
37,faq_010,クッキーとは何ですか？,easy,train
38,faq_010,クッキーの利用目的は何ですか？,easy,train
39,faq_010,クッキーの設定変更方法はありますか？,easy,train
40,faq_010,Google Chromeでのクッキーの設定変更方法はありますか？,easy,train
