,ID,Reference
0,faq_000,"Amebaで障害が発生している場合は、スタッフブログやX(旧Twitter)でお知らせします。
該当の現象が障害に起因し発生しているかを、上記お知らせにてご確認ください。
障害以外の理由で該当の事象が発生している場合は、以下の項目についてご確認・ご対応をお願いいたします。
なお、記事投稿に失敗する際は、画面上にエラーが表示されるかと思いますのでご確認いただければと思います。
１．推奨利用環境と端末・OSバージョンの確認をお願いします
ご利用の環境が推奨利用環境であるかをご確認の上、OSやアプリのアップデートをご検討ください。
・Amebaアプリアプリのアップデート方法
・利用しているOSの確認方法、アップデート方法
・Amebaアプリのバージョン確認方法
２．アプリのキャッシュ・データ削除と再起動をお願いします
キャッシュとデータの削除を行うとアプリ保存記事（アプリ内に保存されている記事）は削除されます。「下書き（非公開）」または「公開」をした上で操作をお試しください。
・アプリのキャッシュ・データの削除方法
３．アプリの再インストールをお試しください
再インストールをしても、退会手続きを行わない限りは同じアカウントでログインができます。 
・アプリを再インストールする
※Android 5.0未満をご利用の場合、あらたにAmebaアプリのインストールができません。
※再インストールを行うとアプリ保存記事（アプリ内に保存されている記事）は削除されます。「下書き（非公開）」または「公開」をした上で操作をお試しください。"
1,faq_001,"Amebaアプリにてログインができない場合、一度スマートフォンブラウザにて以下ログインフォームへアクセスしていただき、ログインが可能であるかお試しください。
https://auth.user.ameba.jp/signin
アプリでのみログインができない場合は、こちらのヘルプをご確認ください。
ブラウザ・アプリともにログインができない場合は、お客様がお困りの状況に合わせて、各ヘルプページをご確認ください。
登録メールアドレスが分かるが、 パスワードが分からない
・登録メールアドレスでメール受信ができる
Amebaに登録されているメールアドレス宛に届く認証コードを入力し、パスワード再設定を行ってください。
・登録メールアドレスにパスワード再設定通知が届かない
よくある原因と対策をまとめていますので、ヘルプページをご確認ください。
・メールアドレス認証をおこなっていない可能性がある
一定の確認を経て、メールアドレス認証をおこなわせていただきます。
登録メールアドレスが不明・受信できない
・登録メールアドレスが分からない、または現在利用できない
一定の確認を経て、現在ご利用可能なメールアドレスへ変更をおこなわせていただきます。
・アドレスにいくつか心当たりがあるが、どのメールアドレスで登録したか特定できない
心当たりのあるアドレスを入力して、パスワード再設定通知を受け取ることができます。
登録メールアドレスもパスワードもわかるがログインできない
・「IDまたはパスワードが違います」と表示される
ヘルプページを参考に、正しいアメーバIDとパスワードでログインをお試しください。
・パスワード再設定をしても新しいパスワードでログインできない
よくある原因と対策をまとめていますので、ヘルプページをご確認ください。
・ブログ管理画面へメールアドレスとパスワードでログインできない
メールアドレスのみの登録ではログインができません。アメーバIDを取得の上、ログインをお試しください。
・ログインしようとするとエラーが発生する
よくある原因と対策をまとめていますので、ヘルプページをご確認ください。
・「私はロボットではありません」という表示がでてログインできない
Google reCAPTCHAが表示された、正常に表示されずログインができない際にはこちらをご確認ください。
・新規登録画面が表示され、ログインできない
よくある原因と対策をまとめていますので、ヘルプページをご確認ください。
・2段階認証の認証コードが受信できず、ログインできない
2段階認証設定の変更ならびに2段階認証の解除についてまとめていますので、ヘルプページをご確認ください。
アメーバIDが分からない・登録した覚えがない
・アメーバIDを忘れてしまった
ヘルプページの内容を参考に、ご自身のアメーバIDをご確認ください。
・外部サービスを使用してAmebaを登録している
外部サービス経由で登録している場合、外部サービスのIDとパスワードを利用したログインができます。
その他
・退会したいがログインできず退会できない
ヘルプページをご確認いただき、お問い合わせフォームよりご連絡ください。
・Amebaの関連サービスにログインできない
Amebaマンガ・ドットマネー・Ameba Owndでログインにお困りの方はヘルプページをご確認の上、お問い合わせフォームよりご連絡ください。
・ログイン状態だったのにいきなりログアウトとログインを求められた
よくある原因と対策をまとめていますので、ヘルプページをご確認ください。
・Amebaアプリを起動すると「新しいバージョンにアップデートしてください」と表示されログインできない
ご利用端末が推奨環境外であるためにAmebaアプリをご利用できないことが考えられます。
以下推奨環境のご案内をご確認ください。
・推奨環境について
推奨環境外の端末を利用されている場合には、スマートフォンブラウザからAmebaをご利用ください。
なお、Amebaでは以下のサポートをおこなっております。
お問い合わせフォームよりアカウント情報確認のために必要な心当たりのあるID・メールアドレス・お困りの状況をご記入の上お問い合わせください。"
2,faq_002,"退会手続きはご自身でログインし行う必要があります。アメーバID・パスワードが分からない場合や、登録メールアドレスが不明・利用できずにパスワード再設定ができない場合は退会ができません。
ただし、ご利用の状況やご事情、お問い合わせをいただいた方がどなたであるかなどの確認後の上、必要に応じてAmebaにてブログとプロフィールの非表示対応をとることが可能です。
以下点線内の内容を記載の上、お問い合わせフォームよりご連絡ください。
ｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ
本文に記載いただきたい内容
※再度伺うことになるため、以下4点を必ずご記載いただきますようお願いいたします。
■非表示対応を希望する旨
例）ログインに関するヘルプページを確認しましたが、メールアドレスがわからずログインできませんでした。そのため非表示を希望します。
■非表示を希望するブログURL
例）スタッフブログ
https://ameblo.jp/staff
■登録の覚えがあるメールアドレス
■削除を希望する理由
例）
・過去のブログが存在することで、名前などがわかり生活への影響がある。
・就職に際し、ブログの削除が必要である。
・自分や友人の写真が掲載されており、削除が必要である。
ｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ
なお、SNSアカウントにてAmebaをご利用でログインができない場合は、ご利用のSNSサービスのヘルプページやサポート窓口へのご連絡をお願いいたします。
・SNSアカウントでログインができないお客様へ
https://helps.ameba.jp/faq/login/login/id_16.html
■その他関連するヘルプページ
アメーバID・パスワード再発行メールが届きません 
ログインができません"
3,faq_003,"退会にあたってログインができない場合は、ヘルプページ(ログインできない)をご確認ください。
【退会前に確認してください】
アカウント全般について
退会するとブログや利用していたサービス等のアカウント情報は削除されます。
Amebaでログインしているサービスにログインできなくなるため、あらかじめサービスごとに投稿などを削除するか、各サービスのお問い合わせ窓口への確認をお願いします。
削除するアカウントに間違いないかを必ずご確認ください。特に複数アカウントをお持ちの方は、ご注意ください。
誤ってアカウントを削除してしまった場合、アカウントの復旧を行うことはできません。
退会後、同じアメーバIDでの再登録はできません。
退会手続きを行ってからブログが削除されるまで、最大24時間ほど時間を要します。
メールマガジンの配信停止までは、数日お時間をいただきます。
その他サービスについて
退会するとお持ちのコイン・マネーは削除されます。 (マネーやコインの統合や引継ぎは行えません)
【Amebaマンガ】の月額プランをご利用の場合は、あらかじめ解約手続きをしてください。
※Amebaを退会すると【Amebaマンガ】にもログインができなくなり、購入したマンガの閲覧やマンガコインの利用ができなくなります。月額プランを解約せずにAmebaを退会してしまった場合は、Amebaマンガまでお問い合わせください。
▶月額プランの確認
▶Amebaマンガお問い合わせ
【Ameba占い館SATORI】の月額プレミアム会員プランをご利用の場合は、あらかじめ解約手続きをしてください。
▶月額プランの確認
※Amebaを退会すると【Ameba占い館SATORI】にもログインができなくなり、「今日の運勢」の確認、キャンペーン特典の利用、購入した占いの閲覧、所持ポイントの利用、月額プレミアム会員限定の特典の利用ができなくなります。
月額プレミアム会員プランを解約せずにAmebaを退会してしまった場合は、Ameba占い館SATORIまでお問い合わせください。
▶Ameba占い館SATORIお問い合わせ
【利用中のアカウントを確認する】
コインを確認する
マネーを確認する
退会フォームにアクセスする
解決しない場合はこちらにお問い合わせください解決しない時は
ヘルプをご覧になっても解決しない場合はこちらにお問い合わせください
Amebaに関するお問い合わせ"
4,faq_004,"以下ページで設定いただいているメールアドレス宛に送信されます。
■会員登録情報ページ内「メールアドレス」にてご確認ください
https://auth.user.ameba.jp/settings
メールが届かない場合は、現在利用可能なメールアドレスであるかどうかや、Amebaからのメールを受信拒否していないかどうか、迷惑メールフォルダに振り分けられていないかをご確認ください。"
5,faq_005,"アメンバー限定記事が閲覧できない原因として主に4つが考えられます。
・アメンバーが承認されているアカウントとは別のアカウントでログインしている
・アメンバー承認がされていない（申請中である）
・アメンバーが解除されている
・一時的な問題で閲覧できない
別のアカウントでログインしている場合
アメンバー承認がされていない（申請中である）場合
アメンバー管理（申請した人）で、申請中となっている場合は、相手方の承認待ちの状態です。
相手方の承認完了後、アメンバー記事の閲覧ができます。
アメンバーの解除がされている場合
現在ログインしているアカウントで申請したことを確認の上、アメンバー管理（申請した人）をご確認ください。
相手方の名前がない場合は、アメンバー申請が却下、解除された、別のアカウントで申請した可能性があります。
また、2週間承認がされない場合も、自動的に申請が却下されますので、必要に応じて再申請をお願いいたします。

一時的な問題で閲覧できない場合
認証情報の連携がうまくいかなかった、端末やブラウザのキャッシュ情報が影響している等、一時的な問題が発生している可能性があります。
上記に当てはまらない場合は、以下の操作をお試しください。
一度ログアウトし再ログインを行う
キャッシュの削除
・Amebaアプリのキャッシュ・Cookie・データ削除の方法
・スマートフォンブラウザのキャッシュの削除方法
※ブラウザに保存されている他のサイトを含むアカウント情報（ID・パスワード等）が
削除される場合がありますので、あらかじめ控えておくなどご注意ください。
端末の再起動を行う"
6,faq_006,"
Amebaは、多様な年齢、性別、立場など、様々なパーソナリティをもった多くの方が利用しています。
私たちは、
誰もが飾らずにありのままの自分で、等身大の自分を発信することができ、
様々な個性がまじりあったコンテンツを互いに尊重し楽しむことができる
皆さまにとって、安心して書ける、読める、そして満足できる場所を提供し続けていきたいと考えています。
Amebaが安心安全なコミュニティであり続けることを実現するために、
ご利用の皆さまに気を付けてほしいことや取り組みをご紹介します。
Amebaが取り組んでいること
アカウントの安全を守るために気をつけてほしいこと
ブログを書くときに気をつけてほしいこと
ブログを読むときに気をつけてほしいこと
トラブルにあったとき
ペナルティについて
解決しない場合はこちらにお問い合わせください解決しない時は
ヘルプをご覧になっても解決しない場合はこちらにお問い合わせください
Amebaに関するお問い合わせ"
7,faq_007,"お問い合わせの前に
回答までお時間をいただく場合もございます。
お問い合わせの前にヘルプページを確認いただくことで、解決できることもございます。
以下の「サービス別よくある質問」や、トップページのよくある質問をご参照ください。
なお、電話での回答は行っておりませんので、あらかじめご了承ください。
ヘルプをご覧になっても解決できなかった場合は、以下よりご連絡をお願いいたします。
違反報告・通報
利用規約に反すると思う投稿や行為を見かけた場合
※報告専用のため、回答は行っていません。頂いた内容は全て確認しています。"
8,faq_010,"Amebaクッキーポリシーは、株式会社サイバーエージェント（以下「当社」といいます。）の定めるクッキーポリシーに基づき、AmebaにおけるCookieの利用・保存等について記載しています。
Cookie（クッキー）とは？
Cookie（クッキー）はWebサイトへのアクセス時に、サービスサイト側が同じユーザーが再訪してきたときにわかるように、訪問ユーザーのデバイスに残していくデータのことをさします。

この情報を使うことで、IDなどを入力せずにログインできたり、表示する内容をサービス側で変更することができます。
Amebaで利用しているクッキーの種類
クッキーの種類・利用目的については、サイバーエージェントクッキーポリシーをご確認いただきますようお願いいたします。
なお、Amebaで取得しているクッキーは以下の通りです。
クッキー設定の管理方法
ブラウザの設定にてCookieの設定変更をご希望の場合は、ご利用のブラウザにて変更をお試しください。以下は、各ブラウザのFAQページのリンクです。
Google Chrome
Microsoft Edge
Safari
Mozilla Firefox
Internet Explorer
個別の広告配信に関するCookie情オフの利用停止をご希望の場合は、Amebaアクセスデータの利用に関するガイドライン「３．Cookieの配布及び広告識別子等と個人情報」内[広告ターゲット配信の無効化について]の各リンクより設置してください。
Amebaのクッキーポリシーに関するお問い合わせは、以下のお問い合わせフォームよりご連絡ください。
■Amebaお問い合わせ
https://helps.ameba.jp/inquiry.html"
9,faq_011,"本同意事項は、「Ameba」を通じて提供される一切のサービス（以下「本サービス」といいます）において、当社及び当社と提携する第三者（以下「サービス提供者」といいます）により提供されるコンテンツやサービス（以下「パートナーサービス」といいます）を利用する場合に、会員が同意すべき事項を定めたものです。
1.本同意事項は、「Ameba利用規約」、その他これに基づく各種ガイドライン等（以下「本利用規約等」といいます）と共に重畳的に適用され、会員は、パートナーサービスを利用するにあたり、本同意事項を確認の上、同意していただく必要があります。なお、本同意事項で利用する用語については、「Ameba利用規約」で定める用語の定義に従うものとします。
2.本同意事項は、本利用規約等の一部を構成し、本同意事項に定める条件と本利用規約等に定める条件とが抵触する場合、本同意事項の定めが優先して適用されるものとします。
3.パートナーサービスの提供主体は、サービス提供者であり、パートナーサービスはサービス提供者が独自に開発・提供しているものです。パートナーサービスの利用条件、動作環境などについては、当該パートナーサービスを提供するサービス提供者が定める規定が適用されます。
4.パートナーサービスに関して、会員、サービス提供者、その他第三者との間で疑義又は争いが発生した場合については、当事者間で解決し、会員は当社に対して何らの請求又は苦情の申し立てを行わないものとします。
5.会員は自己の責任と費用負担によって、パートナーサービスの利用につき必要な携帯電話、PC等の端末、その他通信機器（これに付随するSIMカード、電磁的記録媒体を含み、以下「通信機器」といいます）ならびにID及びパスワード（以下「パスワード等」といいます）の管理を厳重に行うものとします。
6.会員は、パートナーサービスの利用に必要なパスワード等を、第三者に利用させたり、譲渡、承継、貸与、売買、質入、公開等をすることはできません。
7.通信機器やパスワード等の管理不十分による情報の漏洩、使用上の過誤、第三者の使用、不正アクセス等による損害の責任は会員が負うものとし、当社及びサービス提供者に故意又は重過失がある場合を除き、当社及びサービス提供者は一切の責任を負わないものとします。万一、通信機器やパスワード等が不正に利用されたことにより当社に損害が生じた場合、会員は当該損害を賠償するものとします。
8.会員は、通信機器やパスワード等を第三者に知られた場合又は第三者に使用されている疑いのある場合には、当社が定める方法により、直ちに当社にその旨連絡すると共に、当社の指示がある場合にはこれに従うにものとします。
9.パートナーサービスを利用等する際に会員がサービス提供者に支払う利用料は、当社がサービス毎に指定する決済手段を利用するものとし、会員は、当社の定める方法により当社がサービス提供者に代わって回収することを承諾するものとします。
10.当社は、会員の登録情報、会員が本サービスを通じて送信した情報（投稿、書き込み、メッセージ等を指しますがこれに限りません。以下「送信情報」といいます）、その他当社が本サービスを通じて取得した会員の情報を、サービス提供者が本サイト上でパートナーサービスを提供するために必要な範囲内において、サービス提供者に提供することができるものとします。
11.会員がパートナーサービスの利用等に際して、コミュニティ機能（ブログ、掲示板、伝言板等）、位置情報機能等を使用して記述した情報は、送信情報に含まれるものとします。
12.会員が会員資格を取り消された場合又は本サービスの利用を停止された場合は、パートナーサービスの利用等もできなくなります。
13.当社は､コンピュータシステムの障害又はメンテナンス等により､会員がパートナーサービスを利用できなかったことによって発生あるいは誘発された損害について､当社に故意又は重過失がある場合を除き、一切の責任を負わないものとします｡
14.当社は、随時本同意事項を改訂することができるものとします。本同意事項を変更した場合、パートナーサービスに関する一切の事項は変更後の本同意事項によります。
15.当社は、本同意事項を改訂しようとする場合、電子メール又は本サービスを使い随時、会員に告知するものとします。
16.前項に基づき、本同意事項の改訂を告知した日から当社が定める期間を経過した後も継続してパートナーサービスの利用がなされた場合、当該会員は本同意事項の改訂に同意したとみなされるものとします。
平成24年6月6日制定
平成25年4月1日改訂"
