,ID,Reference,SearchKeyword,PageTitle
0,1,"経済産業省（けいざいさんぎょうしょう、英: Ministry of Economy, Trade and Industry、略称: METI）は、日本の行政機関のひとつ[4]。経済および産業の発展ならびに鉱物資源およびエネルギー資源の供給に関する行政を所管する[注釈 1]。",経済産業省,経済産業省
1,1,経済産業省設置法第3条の定める任務である「民間の経済活力の向上及び対外経済関係の円滑な発展を中心とする経済及び産業の発展並びに鉱物資源及びエネルギー資源の安定的かつ効率的な供給の確保を図ること」を達成するため、マクロ経済政策、産業政策、通商政策、貿易管理業務、産業技術政策、流通政策、エネルギー政策などを所管する。,経済産業省,経済産業省
2,2,作成した確定申告書は、申告時点での住所地を管轄する税務署へ郵送するか、直接持参するか、e-Taxで申告する。 所得税の確定申告は2月16日から3月15日までだが、並行して行われる個人消費税の確定申告は1月4日から3月31日までである。2013年（平成25年）分から復興特別所得税の確定申告が必要だが、所得税の申告書上で併せて計算して申告する。,確定申告,確定申告
3,3,"もう1つの論点である経済性では、原材料の枯渇に伴う価格高騰を理由としている。EVは莫大な鉱物資源を必要とし、鉱物資源は枯渇までは至らなくても、徐々に鉱石の品質が悪くなる。
銅の鉱石中の銅の重量比は1900年には2%を超えていたが、すでに0.5%程度まで下がっており、今後はさらに下がって行くと考えられる。品質が下がれば同じだけの銅を掘り出すための鉱石の量はそれだけ増えるため、これはコストや二酸化炭素排出量の増加にも繋がる。また、品質が下がると、その中から銅を精錬し取り出すためのコストもかかるようになる[11]。",電気自動車,電気自動車
4,4,李秉喆が早稲田大学中退後、馬山にて友人2人と1万円ずつ出資し設立した協同精米所の事業が失敗、その後1938年3月1日に大邱で設立した株式会社 三星商会（みつぼししょうかい、現:サムスン物産）が今日のサムスングループの始まりである[13]。1948年には三星物産公司が設立され、引き続き、食べ物と着るものが不如意だった当時の状況に、一番需要が高かった分野である砂糖と服地を生産する企業として、第一製糖（1993年7月グループ離脱）と第一毛織が作られた。,サムスン,サムスングループ
5,5,"児童労働の主要な要因は貧困であるとされているが、学校へのアクセスや教育の質、教育は重要ではないという親の考え方、子どもは従順で低賃金で雇えるという雇用主側の都合など、さまざまな要因が複雑に絡み合っている。
消費者が少しでも安い物を求めれば、企業は低価格にするため原材料の調達費や労働者の賃金などのコストを削減しようとする。コスト削減のしわ寄せの影響を大きく受けるのは、開発途上国の生産者である。適切な賃金が支払われないことによって、親の収入が少なく、子どもが学校へ行けず、働かなければならない状況となってしまう。",児童労働,児童労働
6,10,心理学におけるリラクゼーション（Relaxation）とは、生物の感情状態が低緊張であることであり、その状態では怒り、不安、恐れなどを原因としうる覚醒をしていない。,リラクゼーション,リラクゼーション (心理学)
7,10,オックスフォード辞書によればリラクゼーションとは、身体と心が、緊張と不安から解放されているときである[3]。,リラクゼーション,リラクゼーション (心理学)
8,10,リラクゼーションは瞑想、自律訓練法、漸進的筋弛緩法によって達成可能である。,リラクゼーション,リラクゼーション (心理学)
9,11,太鼓に張る膜は動物の皮などで作られていたが、技術の進歩により合成樹脂なども使用されるようになった[7]。膜を胴に張るには、膜の周囲に紐を通したり、あるいは鋲で止める、ねじで締めるなどの方法がある。紐やねじで止めた場合、膜が緩んだ場合に締め直すことができるため調律が容易であり、鋲を打った場合は締め直しができないためあらかじめ限界まで強く締めてから膜を張るため、非常に堅牢に出来上がるのが特徴である[8]。,太鼓,太鼓
10,12,"断層が活動して地震が発生した時に、海底にまで断層のずれが達して海底面が上下に変化すると非圧縮性流体である海水が上下に移動させられてその地形変化が海面に現われ水位の変動がうねりとなって周囲に広がっていき、津波となる[12]。大地震においては、数十kmから時に1,000 kmを超える長さ、数十kmから数百kmの幅の範囲で、数十cmから数十mという規模で、数十秒から数分の間に、海底が一気に起きる。この体積変化のエネルギーは巨大で波長が非常に長いため、ほとんど失われることなく海水面の隆起や沈降に変換されて津波を生じる[5]。",津波,津波
11,13,"愛知県の南東部に位置する。東三河地方における経済・交通の中心であり、愛知県の県庁機能の一部を有している[1][2]。市の人口は約37万人で県内5位。
総務省が定める中京大都市圏域外であり独立した都市圏を形成しており[3]、豊橋都市圏の人口は約67万人である。2020年（令和2年）の昼夜間人口比率は約97％であり、年々低下傾向にある。
市徽章は、江戸時代末、吉田城に8代君臨した長沢・松平・大河内（ながさわ・まつだいら・おおこうち）家が用いていた馬印を横から見た形の千切（ちぎり）である。
",豊橋市,豊橋市
